frozenset({'16'}),150
frozenset({'891'}),151
frozenset({'656'}),154
frozenset({'462'}),155
frozenset({'927'}),156
frozenset({'367'}),158
frozenset({'931'}),170
frozenset({'29'}),171
frozenset({'372'}),172
"frozenset({'802', '372'})",167
"frozenset({'802', '922', '372'})",164
"frozenset({'844', '922', '372', '802'})",159
"frozenset({'844', '922', '802', '510', '372'})",156
"frozenset({'844', '682', '922', '802', '510', '372'})",153
"frozenset({'844', '682', '922', '802', '372'})",156
"frozenset({'802', '510', '922', '372'})",159
"frozenset({'682', '922', '802', '510', '372'})",156
"frozenset({'802', '682', '922', '372'})",161
"frozenset({'844', '372', '802'})",162
"frozenset({'844', '510', '372', '802'})",159
"frozenset({'844', '682', '802', '510', '372'})",156
"frozenset({'844', '682', '372', '802'})",159
"frozenset({'802', '510', '372'})",162
"frozenset({'802', '682', '510', '372'})",159
"frozenset({'802', '682', '372'})",164
"frozenset({'922', '372'})",169
"frozenset({'844', '922', '372'})",164
"frozenset({'844', '510', '922', '372'})",161
"frozenset({'844', '682', '922', '510', '372'})",158
"frozenset({'844', '682', '922', '372'})",161
"frozenset({'510', '922', '372'})",164
"frozenset({'682', '922', '372', '510'})",161
"frozenset({'682', '922', '372'})",166
"frozenset({'844', '372'})",167
"frozenset({'844', '510', '372'})",164
"frozenset({'844', '682', '510', '372'})",161
"frozenset({'844', '682', '372'})",164
"frozenset({'510', '372'})",167
"frozenset({'682', '510', '372'})",164
"frozenset({'682', '372'})",169
frozenset({'324'}),173
"frozenset({'324', '750'})",162
"frozenset({'170', '324', '750'})",155
"frozenset({'214', '324', '750'})",154
"frozenset({'346', '324', '750'})",150
"frozenset({'170', '324'})",165
"frozenset({'170', '214', '324'})",157
"frozenset({'346', '170', '324'})",153
"frozenset({'214', '324'})",165
"frozenset({'346', '214', '324'})",153
"frozenset({'346', '324'})",160
frozenset({'47'}),175
"frozenset({'156', '47'})",166
"frozenset({'322', '156', '47'})",159
"frozenset({'322', '156', '27', '47'})",156
"frozenset({'156', '775', '322', '27', '47'})",150
"frozenset({'775', '322', '156', '47'})",153
"frozenset({'156', '27', '47'})",162
"frozenset({'775', '156', '27', '47'})",155
"frozenset({'775', '156', '47'})",159
"frozenset({'322', '47'})",166
"frozenset({'322', '27', '47'})",163
"frozenset({'775', '322', '27', '47'})",157
"frozenset({'775', '322', '47'})",160
"frozenset({'27', '47'})",171
"frozenset({'775', '27', '47'})",164
"frozenset({'775', '47'})",168
frozenset({'821'}),179
"frozenset({'821', '753'})",173
"frozenset({'821', '753', '661'})",167
"frozenset({'821', '960', '753', '661'})",157
"frozenset({'821', '960', '753'})",163
"frozenset({'821', '661'})",173
"frozenset({'821', '960', '661'})",163
"frozenset({'821', '960'})",169
frozenset({'847'}),179
frozenset({'247'}),181
frozenset({'83'}),181
"frozenset({'83', '167'})",169
"frozenset({'83', '167', '949'})",162
"frozenset({'83', '675', '167', '949'})",152
"frozenset({'83', '167', '427'})",150
"frozenset({'83', '675', '167'})",157
"frozenset({'83', '167', '766'})",154
"frozenset({'83', '949'})",173
"frozenset({'83', '949', '427'})",153
"frozenset({'83', '675', '949'})",162
"frozenset({'83', '766', '949'})",154
"frozenset({'83', '427'})",159
"frozenset({'83', '675', '427'})",151
"frozenset({'83', '675'})",168
"frozenset({'83', '675', '766'})",152
"frozenset({'83', '766'})",162
frozenset({'246'}),183
frozenset({'609'}),184
"frozenset({'609', '296'})",177
frozenset({'255'}),185
frozenset({'802'}),188
"frozenset({'802', '922'})",167
"frozenset({'844', '922', '802'})",162
"frozenset({'844', '510', '922', '802'})",159
"frozenset({'844', '682', '922', '802', '510'})",156
"frozenset({'844', '682', '922', '802'})",159
"frozenset({'802', '510', '922'})",162
"frozenset({'802', '510', '922', '682'})",159
"frozenset({'802', '682', '922'})",164
"frozenset({'844', '802'})",166
"frozenset({'844', '510', '802'})",162
"frozenset({'844', '510', '802', '682'})",159
"frozenset({'844', '682', '802'})",162
"frozenset({'802', '510'})",166
"frozenset({'802', '510', '682'})",162
"frozenset({'802', '682'})",168
frozenset({'24'}),191
frozenset({'773'}),192
frozenset({'999'}),193
frozenset({'743'}),194
"frozenset({'745', '743'})",187
"frozenset({'745', '743', '480'})",177
"frozenset({'745', '743', '782', '480'})",171
"frozenset({'745', '743', '782'})",181
