frozenset({'16'}),150
frozenset({'891'}),151
frozenset({'656'}),154
frozenset({'462'}),155
frozenset({'927'}),156
frozenset({'367'}),158
frozenset({'931'}),170
frozenset({'29'}),171
frozenset({'372'}),172
frozenset({'324'}),173
frozenset({'47'}),175
frozenset({'821'}),179
frozenset({'847'}),179
frozenset({'247'}),181
frozenset({'83'}),181
frozenset({'246'}),183
frozenset({'609'}),184
frozenset({'255'}),185
frozenset({'802'}),188
frozenset({'24'}),191
frozenset({'773'}),192
frozenset({'999'}),193
frozenset({'743'}),194
frozenset({'14'}),197
frozenset({'644'}),197
frozenset({'286'}),199
frozenset({'452'}),205
frozenset({'305'}),210
frozenset({'89'}),211
frozenset({'466'}),212
frozenset({'589'}),214
frozenset({'734'}),217
frozenset({'892'}),220
frozenset({'902'}),222
frozenset({'267'}),223
frozenset({'313'}),224
frozenset({'439'}),225
frozenset({'86'}),229
frozenset({'338'}),234
frozenset({'680'}),236
frozenset({'698'}),236
frozenset({'179'}),237
frozenset({'592'}),239
frozenset({'556'}),240
frozenset({'575'}),240
frozenset({'915'}),241
frozenset({'670'}),243
frozenset({'757'}),245
frozenset({'306'}),247
frozenset({'679'}),248
frozenset({'138'}),257
frozenset({'303'}),257
frozenset({'444'}),260
frozenset({'317'}),266
frozenset({'866'}),266
frozenset({'596'}),269
frozenset({'331'}),270
frozenset({'81'}),270
frozenset({'977'}),270
frozenset({'206'}),272
frozenset({'997'}),272
frozenset({'799'}),274
frozenset({'779'}),280
frozenset({'650'}),281
frozenset({'881'}),283
frozenset({'182'}),284
frozenset({'165'}),286
frozenset({'230'}),288
frozenset({'627'}),292
frozenset({'124'}),294
frozenset({'535'}),294
frozenset({'864'}),295
frozenset({'264'}),297
frozenset({'482'}),299
frozenset({'601'}),299
frozenset({'402'}),302
frozenset({'88'}),303
frozenset({'807'}),305
frozenset({'916'}),306
frozenset({'806'}),308
frozenset({'301'}),309
frozenset({'59'}),312
frozenset({'696'}),313
frozenset({'437'}),314
frozenset({'67'}),316
frozenset({'218'}),317
frozenset({'889'}),318
frozenset({'898'}),318
frozenset({'930'}),318
frozenset({'64'}),319
frozenset({'818'}),323
frozenset({'901'}),324
frozenset({'498'}),325
frozenset({'442'}),326
frozenset({'103'}),327
frozenset({'131'}),327
frozenset({'101'}),329
frozenset({'537'}),331
frozenset({'936'}),337
frozenset({'939'}),342
frozenset({'681'}),344
frozenset({'166'}),346
frozenset({'289'}),346
frozenset({'714'}),347
frozenset({'882'}),347
frozenset({'186'}),348
frozenset({'699'}),353
frozenset({'652'}),354
frozenset({'822'}),356
frozenset({'435'}),357
frozenset({'811'}),358
frozenset({'817'}),360
frozenset({'261'}),362
frozenset({'376'}),362
frozenset({'666'}),363
frozenset({'358'}),365
frozenset({'954'}),366
frozenset({'697'}),370
frozenset({'225'}),371
frozenset({'536'}),372
frozenset({'613'}),373
frozenset({'539'}),376
frozenset({'715'}),381
frozenset({'560'}),382
frozenset({'553'}),383
frozenset({'370'}),386
frozenset({'693'}),387
frozenset({'588'}),389
frozenset({'379'}),390
frozenset({'685'}),392
frozenset({'755'}),392
frozenset({'113'}),394
frozenset({'695'}),394
frozenset({'612'}),396
frozenset({'865'}),396
frozenset({'22'}),397
frozenset({'751'}),397
frozenset({'904'}),400
frozenset({'398'}),403
frozenset({'371'}),405
frozenset({'443'}),405
frozenset({'384'}),406
frozenset({'677'}),407
frozenset({'894'}),407
frozenset({'150'}),410
frozenset({'270'}),416
frozenset({'375'}),417
frozenset({'209'}),418
frozenset({'781'}),419
frozenset({'691'}),421
frozenset({'813'}),422
frozenset({'180'}),424
frozenset({'342'}),424
frozenset({'764'}),425
frozenset({'958'}),426
frozenset({'972'}),426
frozenset({'524'}),427
frozenset({'453'}),433
frozenset({'671'}),433
frozenset({'942'}),436
frozenset({'281'}),437
frozenset({'311'}),437
frozenset({'483'}),439
frozenset({'231'}),442
frozenset({'396'}),442
frozenset({'514'}),442
frozenset({'721'}),442
frozenset({'750'}),446
frozenset({'840'}),446
frozenset({'531'}),447
frozenset({'604'}),448
frozenset({'485'}),452
frozenset({'455'}),453
frozenset({'983'}),453
frozenset({'142'}),454
frozenset({'40'}),457
frozenset({'15'}),458
frozenset({'603'}),458
frozenset({'849'}),459
frozenset({'141'}),460
frozenset({'562'}),462
